#Pa_CSFR_z0.02_f1
#age = 10 Myrs
#1221
#wave, log(total), log(stellar), log(nebular), log(total+elines) [ergs/sec/Hz]
    735.00  16.72650  16.72650 -99.00000  16.72650
    745.00  16.71686  16.71686 -99.00000  16.71686
    755.00  16.71992  16.71992 -99.00000  16.71992
    765.00  16.68119  16.68119 -99.00000  16.68119
    775.00  16.73174  16.73174 -99.00000  16.73174
    785.00  16.70349  16.70349 -99.00000  16.70349
    795.00  16.73876  16.73876 -99.00000  16.73876
    805.00  16.75212  16.75212 -99.00000  16.75212
    815.00  16.75984  16.75984 -99.00000  16.75984
    825.00  16.77149  16.77149 -99.00000  16.77149
    835.00  16.67461  16.67461 -99.00000  16.67461
    845.00  16.77250  16.77250 -99.00000  16.77250
    855.00  16.77074  16.77074 -99.00000  16.77074
    865.00  16.79007  16.79007 -99.00000  16.79007
    875.00  16.79594  16.79594 -99.00000  16.79594
    885.00  16.80093  16.80093 -99.00000  16.80093
    895.00  16.80666  16.80666 -99.00000  16.80666
    905.00  16.80301  16.80301 -99.00000  16.80301
    915.00  16.79119  16.79053  13.96889  16.79119
    925.00  17.13570  17.13570 -99.00000  17.13570
    935.00  17.31507  17.31507 -99.00000  17.31507
    945.00  17.41300  17.41300 -99.00000  17.41300
    955.00  17.45948  17.45948 -99.00000  17.45948
    965.00  17.49439  17.49295  15.01510  17.49439
    975.00  17.17549  17.17549 -99.00000  17.17549
    985.00  17.40480  17.40480 -99.00000  17.40480
    995.00  17.38095  17.38095 -99.00000  17.38095
   1005.00  17.45188  17.45188 -99.00000  17.45188
   1015.00  17.47487  17.47487 -99.00000  17.47487
   1025.00  17.38472  17.38472 -99.00000  17.38472
   1035.00  17.46025  17.46025 -99.00000  17.46025
   1045.00  17.54336  17.54320  14.08428  17.54336
   1055.00  17.52924  17.52924 -99.00000  17.52924
   1065.00  17.47840  17.47822  14.10075  17.47840
   1075.00  17.50548  17.50548 -99.00000  17.50548
   1085.00  17.47272  17.47272 -99.00000  17.47272
   1095.00  17.51908  17.51908 -99.00000  17.51908
   1105.00  17.50465  17.50465 -99.00000  17.50465
   1115.00  17.50229  17.50229 -99.00000  17.50229
   1125.00  17.45413  17.45413 -99.00000  17.45413
   1135.00  17.51093  17.51093 -99.00000  17.51094
   1145.00  17.49980  17.49960  14.16366  17.49989
   1155.00  17.49424  17.49424 -99.00000  17.49516
   1165.00  17.48467  17.48467 -99.00000  17.49116
   1175.00  17.33479  17.33479 -99.00000  17.37793
   1185.00  17.46794  17.46794 -99.00000  17.57075
   1195.00  17.44639  17.44639 -99.00000  17.67431
   1205.00  17.41236  17.41182  14.50905  17.77378
   1215.00  17.34966  17.34775  14.99335  17.80392
   1225.00  17.44389  17.44101  15.26371  17.80448
   1235.00  17.48277  17.47936  15.37551  17.72054
   1245.00  17.48685  17.48244  15.49166  17.60568
   1255.00  17.48471  17.47919  15.58576  17.52513
   1265.00  17.49302  17.48677  15.64817  17.50199
   1275.00  17.51472  17.50795  15.70423  17.51606
   1285.00  17.51970  17.51192  15.76900  17.51988
